fact_id,tuple,value,human_label,error_type
c93a168ca4c7add7,UMAEA | OpenEA D - W - V 1 | H@10 | 0.881,0.881,correct,
8058555469655335,ClinicalBERT | OpenI | AUC | 0.967,0.967,correct,
49ff8e94ec678b31,Ocean +AR | VOT2021 | accuracy | 0.756,0.756,correct,
bcf93e831dc228d0,CorrTracker | MOT20 | MOTA | 65.2,65.2,correct,
f3e0d48dbf63e159,SOTA Method 2 | IEMOCAP | Accuracy | 0.8,0.8,correct,
6533e0fce44cf02b,SACL | MELD | FMI | 0.82,0.82,genuinely-wrong,not-a-result
0391fa485236c826,TriCL | Cora | F1 | 0.865,0.865,correct,
8c9b3a8b2b944b7c,Sparse xDeepFM | Criteo | LogLoss | 0.4421,0.4421,correct,
bfebde1359c3704f,I3D | Kinetics-400 | Top-5 Accuracy | 0.9,0.9,correct,
c8ec1982c84c3a77,GCN-V | Citeseer | Accuracy | 68.1,68.1,correct,
8c93911c7dd043be,Hiera-B+ | COCO | AP box | 53.5,53.5,correct,
e2d5b493a6ae12c4,Ours ( t = 1.0 𝑡 1.0 t=1.0 ) | LSUN Bedroom | Density | 1.51,1.51,correct,
2c751698f6ab1caf,MvP | ACOS | F1 | 61.54,61.54,correct,
439c2f813eb9c111,StyleGAN2 | FFHQ | FID | 42.62,42.62,correct,
5cf9e35af2197454,BSN | ActivityNet-1.3 | AR@100 | 74.16,74.16,correct,
9aaf18bfa50033cb,InstructBLIP (Vicuna-7B) | ScienceQA (image-context) | accuracy | 79.5,79.5,correct,
c330411105ff62b7,C | VOC12 val | Mean AP v o l b | 43.2,43.2,genuinely-wrong,wrong-pairing
890bea6f497ee454,VSE++ | RSICD | R@5 | 11.32,11.32,correct,
aa05eaa880752707,Figment-GM | 20NG | Acc | 0.421,0.421,correct,
07809eedc296671f,"MSNEA* ( Chen et al . , 2022b ) | DBP15K J A−E N | MRR | 0.718",0.718,genuinely-wrong,wrong-pairing
ed4aaeb4dd767770,GCAT | WN18 | MRR | 0.393,0.393,correct,
32e52480ca5044bc,DistMult | FB15k-237 | Hits@10 | 0.419,0.419,correct,
98849941437c089d,MVU | Austin VIOLA | Top-1 Accuracy | 33.3,33.3,correct,
e013fc2624aad9e3,OnPro | CIFAR-100 | Top-1 Accuracy | 0.765,0.765,genuinely-wrong,not-a-result
228afa578f0895d2,Auto-Evolve | BigBench-Hard | performance boost | 2.8,2.8,genuinely-wrong,not-a-result
97db6bdcf5902918,Q-ViD XXL | NExT-QA | Cau | 66.5,66.5,correct,
48d42ad0c9c47d72,CLIP | P-Mam | Avg | 67.9,67.9,correct,
d6126a0868b94fbf,TokenLearner 16at18+ L/14 | Kinetics-400 | Top-1 accuracy | 84.7,84.7,correct,
78c4fd1df9515eff,ColBERT-v2 1 | MS MARCO | nDCG@10 | 0.381,0.381,genuinely-wrong,wrong-pairing
438a4ed51c5f4ce8,"SMKD (Hao, Min, and Chen 2021) | PHOENIX14 | WER | 20.8",20.8,correct,
c546c64151f36a02,AE | FMNIST | AUC | 71.6,71.6,correct,
e1d13f0a83bce018,PaLM 2 | BoolQ | accuracy | 71.59,71.59,genuinely-wrong,wrong-pairing
f89fe94bbbb012a1,U 2 PL (w/ AEL) | blender PASCAL VOC 2012 | mIoU | 77.21,77.21,genuinely-wrong,wrong-pairing
c55d32885e7a29cc,NeRF | Synthetic-NSVF | PSNR | 30.81,30.81,correct,
444be45290d092e8,SCINet | ETTh1 | MAE | 0.23,0.23,genuinely-wrong,wrong-pairing
783e4eff54ff9d05,PatchTST | ETTh2 | MSE | 0.338,0.338,correct,
d9eeb2e422726228,NN-QI | VisDial v0.5 | MRR | 0.385,0.385,correct,
ad3f9afe002828c6,ViT-PCM Ours | MS-COCO 2014 val | mIoU(%) | 45.0,45.0,correct,
710cbb347b4c5960,Deeplabv2-CRF | PASCAL VOC 2012 | mean-IoU | 79.7,79.7,correct,
05e2387953d31ae9,ICNet | Cityscapes | mIoU | 70.6,70.6,correct,
e49ac7ef94c87160,SimplE | FB15k | MRR | 0.942,0.942,genuinely-wrong,wrong-pairing
1fc92252be277588,InstructBLIP (FlanT5 XL) | MSRVTT-QA | Top-1 Accuracy | 47.1,47.1,genuinely-wrong,not-a-result
2980fcbb44920b35,MEI 3×100 | WN18RR | MRR | 0.746,0.746,correct,
c91facf641d1773e,Ours(Segformer) | SUN | mIoU | 50.4,50.4,correct,
009a10076379f793,YOLO-SAM 2 | CVC-ColonDB | mDice | 0.917,0.917,genuinely-wrong,wrong-value
7b24136b416d31b8,"With II**, L1 | Cora | Mean classification accuracy | 84.91",84.91,correct,
92e52841a3746fdd,Ours ( t = 0.9 𝑡 0.9 t=0.9 ) | LSUN Churches | Density | 1.07,1.07,correct,
e519a98ffbbbf780,Oscar+ B w/ VinVL | GQA | Test-dev | 65.05,65.05,correct,
f772e937a0dd47ab,Ego-Exo | Charades-Ego | Top-1 Accuracy | 0.755,0.755,genuinely-wrong,not-a-result
